,Team,Posicao,Club,#,Birth Date,FIFA Popular Name,#
0,Argentina,DF,AFC Ajax (NED),3,16.02.1986,GODIN Diego,3
1,Argentina,DF,AFC Ajax (NED),3,28.03.1987,BEN ALOUANE Yohan,3
2,Argentina,DF,AFC Ajax (NED),3,21.06.1990,MOUBANDJE Francois,3
3,Argentina,DF,AFC Ajax (NED),3,17.07.1994,LINDELOF Victor,3
4,Argentina,DF,AFC Ajax (NED),3,02.02.1987,PIQUE Gerard,3
5,Argentina,DF,AFC Ajax (NED),3,19.01.1985,TOSIC Dusko,3
6,Argentina,DF,AFC Ajax (NED),3,20.06.1991,KOULIBALY Kalidou,3
7,Argentina,DF,AFC Ajax (NED),3,31.03.1984,OSAMA HAWSAWI,3
8,Argentina,DF,AFC Ajax (NED),3,29.07.1993,KUTEPOV Ilya,3
9,Argentina,DF,AFC Ajax (NED),3,26.02.1983,PEPE,3
10,Argentina,DF,AFC Ajax (NED),3,04.11.1987,JEDRZEJCZYK Artur,3
11,Argentina,DF,AFC Ajax (NED),3,20.05.1989,CORZO Aldo,3
12,Argentina,DF,AFC Ajax (NED),3,01.03.1992,CUMMINGS Harold,3
13,Argentina,DF,AFC Ajax (NED),3,20.01.1988,ECHIEJILE Elderson,3
14,Argentina,DF,AFC Ajax (NED),3,21.10.1997,MENDYL Hamza,3
15,Argentina,DF,AFC Ajax (NED),3,29.09.1993,SALCEDO Carlos,3
16,Argentina,DF,AFC Ajax (NED),3,03.04.1994,JUNG Seunghyun,3
17,Argentina,DF,AFC Ajax (NED),3,11.12.1992,SHOJI Gen,3
18,Argentina,DF,AFC Ajax (NED),3,25.02.1990,HAJI SAFI Ehsan,3
19,Argentina,DF,AFC Ajax (NED),3,22.02.1996,FRIDJONSSON Samuel,3
20,Argentina,DF,AFC Ajax (NED),3,27.05.1990,HECTOR Jonas,3
21,Argentina,DF,AFC Ajax (NED),3,13.08.1995,KIMPEMBE Presnel,3
22,Argentina,DF,AFC Ajax (NED),3,02.07.1990,ROSE Danny,3
23,Argentina,DF,AFC Ajax (NED),3,09.09.1987,AHMED ELMOHAMADY,3
24,Argentina,DF,AFC Ajax (NED),3,03.08.1992,VESTERGAARD Jannik,3
25,Argentina,DF,AFC Ajax (NED),3,17.07.1987,STRINIC Ivan,3
26,Argentina,DF,AFC Ajax (NED),3,08.02.1988,GONZALEZ Giancarlo,3
27,Argentina,DF,AFC Ajax (NED),3,18.04.1988,MURILLO Oscar,3
28,Argentina,DF,AFC Ajax (NED),3,07.09.1984,MIRANDA,3
29,Argentina,DF,AFC Ajax (NED),3,14.11.1985,VERMAELEN Thomas,3
30,Argentina,DF,AFC Ajax (NED),3,05.04.1988,MEREDITH James,3
31,Argentina,DF,AFC Ajax (NED),3,31.08.1992,TAGLIAFICO Nicolas,3
32,Argentina,MF,CA Boca Juniors (ARG),22,07.04.1987,CACERES Martin,22
33,Argentina,MF,CA Boca Juniors (ARG),22,05.03.1995,HASSEN Mouez,22
34,Argentina,MF,CA Boca Juniors (ARG),22,20.12.1991,SCHAER Fabian,22
35,Argentina,MF,CA Boca Juniors (ARG),22,24.06.1992,THELIN Isaac Kiese,22
36,Argentina,MF,CA Boca Juniors (ARG),22,21.04.1992,ISCO,22
37,Argentina,MF,CA Boca Juniors (ARG),22,29.09.1991,LJAJIC Adem,22
38,Argentina,MF,CA Boca Juniors (ARG),22,04.10.1998,WAGUE Moussa,22
39,Argentina,MF,CA Boca Juniors (ARG),22,10.10.1991,MOHAMMED ALOWAIS,22
40,Argentina,MF,CA Boca Juniors (ARG),22,22.08.1988,DZYUBA Artem,22
41,Argentina,MF,CA Boca Juniors (ARG),22,01.05.1982,BETO,22
42,Argentina,MF,CA Boca Juniors (ARG),22,18.04.1985,FABIANSKI Lukasz,22
43,Argentina,MF,CA Boca Juniors (ARG),22,26.10.1994,LOYOLA Nilson,22
44,Argentina,MF,CA Boca Juniors (ARG),22,05.08.1990,RODRIGUEZ Alex,22
45,Argentina,MF,CA Boca Juniors (ARG),22,17.10.1993,OMERUO Kenneth,22
46,Argentina,MF,CA Boca Juniors (ARG),22,05.04.1996,TAGNAOUTI Ahmed,22
47,Argentina,MF,CA Boca Juniors (ARG),22,30.07.1995,LOZANO Hirving,22
48,Argentina,MF,CA Boca Juniors (ARG),22,10.03.1988,GO Yohan,22
49,Argentina,MF,CA Boca Juniors (ARG),22,24.08.1988,YOSHIDA Maya,22
50,Argentina,MF,CA Boca Juniors (ARG),22,26.04.1993,ABEDZADEH Amir,22
51,Argentina,MF,CA Boca Juniors (ARG),22,25.05.1992,BODVARSSON Jon,22
52,Argentina,MF,CA Boca Juniors (ARG),22,30.04.1992,TER STEGEN Marc-Andre,22
53,Argentina,MF,CA Boca Juniors (ARG),22,17.07.1994,MENDY Benjamin,22
54,Argentina,MF,CA Boca Juniors (ARG),22,07.10.1998,ALEXANDER-ARNOLD Trent,22
55,Argentina,MF,CA Boca Juniors (ARG),22,17.09.1993,AMR WARDA,22
56,Argentina,MF,CA Boca Juniors (ARG),22,04.08.1992,RONNOW Frederik,22
57,Argentina,MF,CA Boca Juniors (ARG),22,30.01.1989,PIVARIC Josip,22
58,Argentina,MF,CA Boca Juniors (ARG),22,09.07.1994,MATARRITA Ronald,22
59,Argentina,MF,CA Boca Juniors (ARG),22,01.06.1985,CUADRADO Jose,22
60,Argentina,MF,CA Boca Juniors (ARG),22,11.06.1989,FAGNER,22
61,Argentina,MF,CA Boca Juniors (ARG),22,02.08.1989,CHADLI Nacer,22
62,Argentina,MF,CA Boca Juniors (ARG),22,07.03.1993,IRVINE Jackson,22
63,Argentina,MF,CA Boca Juniors (ARG),22,21.01.1996,PAVON Cristian,22
64,Argentina,MF,West Ham United FC (ENG),15,24.08.1991,VECINO Matias,15
65,Argentina,MF,West Ham United FC (ENG),15,21.12.1994,KHALIL Ahmed,15
66,Argentina,MF,West Ham United FC (ENG),15,12.04.1986,DZEMAILI Blerim,15
67,Argentina,MF,West Ham United FC (ENG),15,28.06.1992,HILJEMARK Oscar,15
68,Argentina,MF,West Ham United FC (ENG),15,30.03.1986,RAMOS Sergio,15
69,Argentina,MF,West Ham United FC (ENG),15,12.10.1997,MILENKOVIC Nikola,15
70,Argentina,MF,West Ham United FC (ENG),15,24.12.1989,SAKHO Diafra,15
71,Argentina,MF,West Ham United FC (ENG),15,16.08.1996,ABDULLAH ALKHAIBARI,15
72,Argentina,MF,West Ham United FC (ENG),15,17.10.1995,MIRANCHUK Alexey,15
73,Argentina,MF,West Ham United FC (ENG),15,06.10.1993,RICARDO,15
74,Argentina,MF,West Ham United FC (ENG),15,03.02.1988,GLIK Kamil,15
75,Argentina,MF,West Ham United FC (ENG),15,04.11.1988,RAMOS Christian,15
76,Argentina,MF,West Ham United FC (ENG),15,31.03.1991,DAVIS Eric,15
77,Argentina,MF,West Ham United FC (ENG),15,22.05.1991,OBI Joel,15
78,Argentina,MF,West Ham United FC (ENG),15,07.07.1996,AIT BENNASSER Youssef,15
79,Argentina,MF,West Ham United FC (ENG),15,17.01.1988,MORENO Hector,15
80,Argentina,MF,West Ham United FC (ENG),15,14.12.1989,JUNG Wooyoung,15
81,Argentina,MF,West Ham United FC (ENG),15,18.05.1990,OSAKO Yuya,15
82,Argentina,MF,West Ham United FC (ENG),15,06.09.1983,MONTAZERI Pejman,15
83,Argentina,MF,West Ham United FC (ENG),15,06.08.1990,EYJOLFSSON Holmar,15
